Sample ID,Location description,Collection Date/Time,!OBS_BARTON_PND,AMMONIA,COND_FIELD,DO_FIELD,DPTH_MSRMNT_TKN,ECOLI_MPN,ENTERO_MPN,NITRATE,NITRITE PH,PH_FIELD,PHOS_META,PHOS_ORTHO,PHOS_TOTAL,SECCI_DEPTH,TEMP_C_FIELD,TOTAL_COLI_MPN,TSS,UV254
AA18446,Barton Pond Site 2,9/24/2013 11:58,,,,,,,,,,,,,,,,,,
AA69473,Barton Pond Site 1,4/29/2014 14:00,"Sunny, 75F", <0.10,,11.49,,3.1,3.1,0.4,4.18517,7.72,,,0.06,8,10.7,,14,
AA69474,Barton Pond Site 2,4/29/2014 14:10,"Sunny, 75F", <0.10,,11.62,,9.7,3.1,0.4,3.93467,8,,,0.0626,7.1,10.7,,6,
AA69475,Barton Pond Site 3,4/29/2014 14:30,"Sunny, 75F", <0.10,,11.38,,15.8,7.3,0.5,4.60267,8.06,,,0.0606,7.8,11.31,,8,
AA73170,Barton Pond Site 1,5/15/2014 13:47,Overcast with ocational rain. Abundant wildlife wind ~12mph 60'F., <0.10,,6.9,,133.3,90.8,0.5,10.11361,7.46,,,0.0626,5,16.4,,5.3,
AA73171,Barton Pond Site 2,5/15/2014 13:31,Overcast with ocational rain. Abundant wildlife wind ~12mph 60'F., <0.10,,6.84,,275.5,139.6,0.5,10.19711,7.73,,,0.0619,4,16.5,,5.4,
AA73172,Barton Pond Site 3,5/15/2014 13:20,Overcast with occasional rain. Abundant wildlife wind ~12mph 60'F., <0.10,,7.69,,435.2,488.4,0.5,9.23687,7.88,,,0.0816,3,15.9,,13.4,
AA76781,Barton Pond Site 1,5/29/2014 10:00,"Warm, Sunny", <0.10,,7.41,,172.5,158.5,0.4,8.94484,7.86,,,0.0677,5,21.5,,112,
AA76782,Barton Pond Site 2,5/29/2014 10:13,"Warm, Sunny", <0.10,,7.29,,218.7,143.9,0.4,8.19523,8.03,,,0.0529,6.17,21.6,,48,
AA76783,Barton Pond Site 3,5/29/2014 10:29,"Warm, Sunny", <0.10,,6.71,,128.1,98.3,0.4,10.81886,8,,,0.0574,6.17,20.4,,147,
AA83853,Barton Pond Site 1,6/26/2014 8:20,"Sunny, about 70 degrees, two swans", <0.10,708,6.87,,59.1,11.1,0.5,9.69445,7.93,,,0.089,8,22.8,,2.6,
AA83854,Barton Pond Site 2,6/26/2014 8:25,"sunny, about 70 degrees, two swans", <0.10,709,6.4,,37.3,12.4,0.5,9.98597,7.99,,,0.0797,7,22.7,,11.6,
AA83855,Barton Pond Site 3,6/26/2014 9:10,"sunny, about 70 degrees, two swans", <0.10,714,5.59,,63.1,40.6,0.5,9.44458,7.94,,,0.1387,7,22.3,,27.8,
AA89275,Barton Pond Site 1,7/14/2014 9:57,Sunny, <0.10,711,6.53,,14.8,4.2,0.3,6.0297,7.82,,,0.0623,5.5,25.22,,3,
AA89276,Barton Pond Site 2,7/14/2014 10:12,Sunny, <0.10,711,7.41,,29.2,2,0.3,5.73819,8.1,,,0.0864,5.25,25.2,,2.6,
AA89277,Barton Pond Site 3,7/14/2014 10:33,Sunny, <0.10,710,4,,54.8,53.1,0.3,5.77983,7.89,,,0.0822,6.17,24.7,,11,
AA92890,Barton Pond Site 1,7/29/2014 10:09,Cool and Sunny, <0.10,704,5.75,,13.4,7.3,0.2,5.90476,7.88,,,0.0374,6,22.6,,6.6,
AA92891,Barton Pond Site 2,7/29/2014 10:20,Cool and Sunny, <0.10,701,6.14,,16,10.6,0.2,5.32174,8.01,,,0.0406,5,22.7,,8.6,
AA92892,Barton Pond Site 3,7/29/2014 10:38,Cool and Sunny, <0.10,686,5.4,,93.2,10.9,0.3,4.65542,7.9,,,0.0423,6,20.9,,6.6,
AA96532,Barton Pond Site 1,8/13/2014 9:40,"Warm, Windy, Sunny", <0.10,722,5.79,,32.7,17.8,0.2,4.59132,7.89,,,0.0716,5,22.6,,4,
AA96533,Barton Pond Site 2,8/13/2014 9:55,"Warm, Windy, Sunny", <0.10,722,5.75,,27.5,17.8,0.2,4.47889,7.86,,,0.0723,6,22.5,,4,
AA96534,Barton Pond Site 3,8/13/2014 10:17,"Sunny, clear", <0.10,694,5.73,,328.2,>200.5,0.3,3.76686,7.85,,,0.0684,5.83,21.5,,6.8,
AB00113,Barton Pond Site 1,8/26/2014 9:45,"Sunny, 87 F", <0.10,734,8.4,,7.3,5.3,0.2,2.71755,7.98,,,0.0481,6,25.2,,4.4,
AB00114,Barton Pond Site 2,8/26/2014 10:00,"Sunny, 87 F", <0.10,731,9.76,,3.1,1,0.2,1.59329,8.33,,,0.0403,5,25.3,,5.6,
AB00115,Barton Pond Site 3,8/26/2014 10:19,"Sunny, 87 F", <0.10,750,5.97,,67.7,53.1,0.2,2.26785,8.09,,,0.0545,7,25.2,,3.6,
AB03647,Barton Pond Site 1,9/9/2014 10:14,"Sunny, Murky water", <0.10,748,7.04,,4.1,<1.0,0.4,6.57751,7.82,,,0.0813,7.42,23.2,,3.8,
AB03648,Barton Pond Site 2,9/9/2014 10:50,"Sunny, Murky water", <0.10,748,8.19,,5.1,1,0.2,5.3783,8.22,,,0.1284,7.25,23.4,,4.8,
