Sample ID,Location description,Collection Date/Time,!OBS_BARTON_PND,AMMONIA,COND_FIELD,DO_FIELD,DPTH_MSRMNT_TKN,ECOLI_MPN,ENTERO_MPN,NITRATE,NITRITE PH,PH_FIELD,PHOS_META,PHOS_ORTHO,PHOS_TOTAL,SECCI_DEPTH,TEMP_C_FIELD,TOTAL_COLI_MPN,TSS,UV254
AA18446,site 2,9/24/2013 11:58,,,,,,,,,,,,,,,,,,
AB41464,site 1,8/26/2014 9:45,,,,,,,,,,,,,,,,,,
AB75719,site 1,6/9/2015 9:49,"Sunny, 70 F. Lots of aquatic weeds",0.118,788.0,7.23,,31.8,26.9,0.5,11.17891,8.05,,,0.0286,5.5,21.0,2419.6,3.8,
AB88442,site 1,7/28/2015 9:08,85 F and sunny. Pond water very stagnant. ,0.125,698.0,10.09,,4.1,3.1,0.2,5.49552,8.44,,,0.0565,7.0,27.3,1203.1,8.8,
AB88443,site 2,7/28/2015 9:20,85 F and sunny. Pond water very stagnant. ,0.1,701.0,9.72,,6.3,1.0,0.2,5.49552,8.39,,,0.0458,5.66,27.3,1119.9,2.8,
AB94876,site 1,8/12/2015 9:30,,,700.0,5.6,3.0,,,,,8.04,,,,,23.6,,,
AB94877,site 1,8/12/2015 9:31,,,701.0,6.0,6.0,,,,,8.06,,,,,23.6,,,
AB94878,site 1,8/12/2015 9:32,,,704.0,5.39,9.0,,,,,8.04,,,,,23.5,,,
AB94879,site 1,8/12/2015 9:33,,,704.0,2.08,12.0,,,,,7.85,,,,,23.2,,,
AB94880,site 1,8/12/2015 9:34,,,704.0,1.86,15.0,,,,,7.83,,,,,23.2,,,
AB94881,site 1,8/12/2015 9:35,,,704.0,1.81,18.0,,,,,7.82,,,,,23.2,,,
AB94882,site 2,8/12/2015 9:44,,,699.0,5.86,3.0,,,,,8.08,,,,,23.6,,,
AB94883,site 2,8/12/2015 9:45,,,699.0,5.89,6.0,,,,,8.09,,,,,23.6,,,
AB94884,site 2,8/12/2015 9:46,,,703.0,5.68,9.0,,,,,8.07,,,,,23.5,,,
AB94885,site 2,8/12/2015 9:47,,,718.0,0.0,12.0,,,,,7.76,,,,,22.8,,,
AB94886,site 2,8/12/2015 9:48,,,729.0,0.0,15.0,,,,,7.66,,,,,22.7,,,
AB94887,site 2,8/12/2015 9:49,,,737.0,0.0,18.0,,,,,7.65,,,,,22.6,,,
AB94888,site 3,8/12/2015 9:57,,,703.0,5.5,3.0,,,,,8.09,,,,,23.6,,,
AB94889,site 3,8/12/2015 9:58,,,665.0,0.0,6.0,,,,,7.63,,,,,23.4,,,
AB97932,site 1,8/25/2015 9:58,,,723.0,7.61,0.0,,,,,8.14,,,,,23.0,,,
AB97933,site 1,8/25/2015 9:58,,,723.0,7.97,3.0,,,,,8.19,,,,,23.0,,,
AB97934,site 1,8/25/2015 9:58,,,723.0,7.62,6.0,,,,,8.2,,,,,23.0,,,
AB97935,site 1,8/25/2015 9:58,,,723.0,7.32,9.0,,,,,8.21,,,,,23.0,,,
AB97936,site 1,8/25/2015 9:58,,,723.0,7.55,12.0,,,,,8.23,,,,,23.0,,,
AB97937,site 1,8/25/2015 9:58,,,748.0,5.04,15.0,,,,,8.04,,,,,22.5,,,
AB97938,site 1,8/25/2015 9:58,,,748.0,4.62,18.0,,,,,8.0,,,,,22.4,,,
AB97939,site 2,8/25/2015 10:14,,,722.0,8.48,0.0,,,,,8.25,,,,,22.9,,,
AB97940,site 2,8/25/2015 10:14,,,721.0,8.1,3.0,,,,,8.25,,,,,22.9,,,
AB97941,site 2,8/25/2015 10:14,,,721.0,8.01,6.0,,,,,8.25,,,,,22.9,,,
AB97942,site 2,8/25/2015 10:14,,,722.0,8.0,9.0,,,,,8.25,,,,,22.9,,,
AB97943,site 2,8/25/2015 10:14,,,722.0,8.14,12.0,,,,,8.26,,,,,22.9,,,
AB97944,site 2,8/25/2015 10:14,,,747.0,8.06,15.0,,,,,8.06,,,,,22.4,,,
AB97945,site 2,8/25/2015 10:14,,,748.0,8.0,18.0,,,,,8.0,,,,,22.3,,,
AB97946,site 3,8/25/2015 10:28,,,740.0,7.37,0.0,,,,,8.3,,,,,20.9,,,
AB97947,site 3,8/25/2015 10:28,,,739.0,6.58,3.0,,,,,8.1,,,,,20.9,,,
AB97948,site 3,8/25/2015 10:28,,,740.0,7.47,6.0,,,,,8.15,,,,,20.9,,,
AB97949,site 3,8/25/2015 10:28,,,737.0,5.61,9.0,,,,,8.02,,,,,21.0,,,
AC03581,site 1,9/15/2015 14:16,,,733.0,8.2,3.0,,,,,8.32,,,,,20.0,,,
AC03582,site 1,9/15/2015 14:17,,,741.0,8.03,6.0,,,,,8.3,,,,,19.6,,,
AC03583,site 1,9/15/2015 14:18,,,752.0,5.91,9.0,,,,,8.14,,,,,18.2,,,
AC03584,site 1,9/15/2015 14:19,,,763.0,6.7,12.0,,,,,8.18,,,,,17.9,,,
AC03585,site 1,9/15/2015 14:20,,,763.0,6.72,15.0,,,,,8.18,,,,,17.8,,,
AC03586,site 1,9/15/2015 14:21,,,754.0,5.79,18.0,,,,,8.12,,,,,17.3,,,
AC03587,site 2,9/15/2015 14:26,,,735.0,7.81,3.0,,,,,8.3,,,,,19.9,,,
AC03588,site 2,9/15/2015 14:27,,,742.0,4.8,6.0,,,,,8.05,,,,,19.4,,,
AC03589,site 2,9/15/2015 14:28,,,749.0,5.9,9.0,,,,,8.14,,,,,18.5,,,
AC03590,site 2,9/15/2015 14:29,,,764.0,6.34,12.0,,,,,8.19,,,,,18.0,,,
AC03591,site 2,9/15/2015 14:30,,,762.0,6.39,15.0,,,,,8.14,,,,,17.7,,,
AC03592,site 2,9/15/2015 14:31,,,751.0,5.35,18.0,,,,,8.05,,,,,17.4,,,
AC03593,site 3,9/15/2015 14:40,,,747.0,9.14,3.0,,,,,8.42,,,,,20.3,,,
AC03594,site 3,9/15/2015 14:41,,,740.0,9.52,6.0,,,,,8.42,,,,,19.4,,,
AC03605,site 1,9/15/2015 14:15,,,734.0,8.82,0.0,,,,,8.31,,,,,20.6,,,
AC03606,site 2,9/15/2015 14:25,,,732.0,8.61,0.0,,,,,8.36,,,,,21.0,,,
AC03607,site 3,9/15/2015 14:39,,,750.0,8.57,0.0,,,,,8.39,,,,,21.6,,,
AC60684,site 1,4/13/2016 11:11,,,758.0,16.4,6.0,,,,,7.85,,,,,7.4,,,
AC60685,site 1,4/13/2016 11:12,,,758.0,15.36,9.0,,,,,7.92,,,,,7.4,,,
AC60686,site 1,4/13/2016 11:13,,,759.0,14.81,12.0,,,,,7.99,,,,,7.4,,,
AC60687,site 1,4/13/2016 11:14,,,759.0,14.26,15.0,,,,,8.01,,,,,7.3,,,
AC60688,site 1,4/13/2016 11:15,,,758.0,13.88,18.0,,,,,8.04,,,,,7.3,,,
AC60689,site 1,4/13/2016 11:16,,,759.0,13.78,21.0,,,,,8.07,,,,,7.3,,,
AC60691,site 2,4/13/2016 11:41,,,757.0,14.5,6.0,,,,,8.13,,,,,7.5,,,
